x;y;u;v;column;row
0.0000;0.0000;-0.0019;-0.0009;0;0
0.0345;0.0000;0.0333;0.0012;1;0
0.0690;0.0000;0.0681;0.0023;2;0
0.1034;0.0000;0.1027;0.0027;3;0
0.1379;0.0000;0.1371;0.0026;4;0
0.1724;0.0000;0.1715;0.0023;5;0
0.2069;0.0000;0.2059;0.0019;6;0
0.2414;0.0000;0.2403;0.0015;7;0
0.2759;0.0000;0.2747;0.0012;8;0
0.3103;0.0000;0.3092;0.0011;9;0
0.3448;0.0000;0.3437;0.0011;10;0
0.3793;0.0000;0.3783;0.0013;11;0
0.4138;0.0000;0.4129;0.0015;12;0
0.4483;0.0000;0.4475;0.0019;13;0
0.4828;0.0000;0.4822;0.0022;14;0
0.5172;0.0000;0.5168;0.0026;15;0
0.5517;0.0000;0.5515;0.0030;16;0
0.5862;0.0000;0.5861;0.0032;17;0
0.6207;0.0000;0.6207;0.0034;18;0
0.6552;0.0000;0.6553;0.0035;19;0
0.6897;0.0000;0.6899;0.0034;20;0
0.7241;0.0000;0.7244;0.0033;21;0
0.7586;0.0000;0.7590;0.0030;22;0
0.7931;0.0000;0.7935;0.0027;23;0
0.8276;0.0000;0.8280;0.0023;24;0
0.8621;0.0000;0.8626;0.0019;25;0
0.8966;0.0000;0.8972;0.0016;26;0
0.9310;0.0000;0.9319;0.0012;27;0
0.9655;0.0000;0.9668;0.0010;28;0
1.0000;0.0000;1.0018;0.0007;29;0
0.0000;0.0526;-0.0015;0.0518;0;1
0.0345;0.0526;0.0335;0.0530;1;1
0.0690;0.0526;0.0682;0.0536;2;1
0.1034;0.0526;0.1027;0.0537;3;1
0.1379;0.0526;0.1372;0.0535;4;1
0.1724;0.0526;0.1715;0.0532;5;1
0.2069;0.0526;0.2059;0.0530;6;1
0.2414;0.0526;0.2404;0.0528;7;1
0.2759;0.0526;0.2748;0.0527;8;1
0.3103;0.0526;0.3093;0.0528;9;1
0.3448;0.0526;0.3439;0.0530;10;1
0.3793;0.0526;0.3784;0.0533;11;1
0.4138;0.0526;0.4130;0.0537;12;1
0.4483;0.0526;0.4476;0.0541;13;1
0.4828;0.0526;0.4822;0.0546;14;1
0.5172;0.0526;0.5168;0.0550;15;1
0.5517;0.0526;0.5514;0.0554;16;1
0.5862;0.0526;0.5860;0.0556;17;1
0.6207;0.0526;0.6206;0.0558;18;1
0.6552;0.0526;0.6551;0.0558;19;1
0.6897;0.0526;0.6897;0.0558;20;1
0.7241;0.0526;0.7242;0.0556;21;1
0.7586;0.0526;0.7587;0.0553;22;1
0.7931;0.0526;0.7932;0.0549;23;1
0.8276;0.0526;0.8277;0.0546;24;1
0.8621;0.0526;0.8623;0.0542;25;1
0.8966;0.0526;0.8969;0.0538;26;1
0.9310;0.0526;0.9316;0.0534;27;1
0.9655;0.0526;0.9665;0.0530;28;1
1.0000;0.0526;1.0016;0.0526;29;1
0.0000;0.1053;-0.0013;0.1049;0;2
0.0345;0.1053;0.0337;0.1055;1;2
0.0690;0.1053;0.0683;0.1057;2;2
0.1034;0.1053;0.1028;0.1056;3;2
0.1379;0.1053;0.1373;0.1054;4;2
0.1724;0.1053;0.1717;0.1051;5;2
0.2069;0.1053;0.2061;0.1049;6;2
0.2414;0.1053;0.2406;0.1049;7;2
0.2759;0.1053;0.2751;0.1049;8;2
0.3103;0.1053;0.3096;0.1051;9;2
0.3448;0.1053;0.3441;0.1054;10;2
0.3793;0.1053;0.3787;0.1058;11;2
0.4138;0.1053;0.4133;0.1062;12;2
0.4483;0.1053;0.4479;0.1067;13;2
0.4828;0.1053;0.4824;0.1071;14;2
0.5172;0.1053;0.5170;0.1075;15;2
0.5517;0.1053;0.5515;0.1078;16;2
0.5862;0.1053;0.5861;0.1080;17;2
0.6207;0.1053;0.6206;0.1081;18;2
0.6552;0.1053;0.6551;0.1080;19;2
0.6897;0.1053;0.6896;0.1079;20;2
0.7241;0.1053;0.7241;0.1077;21;2
0.7586;0.1053;0.7586;0.1074;22;2
0.7931;0.1053;0.7931;0.1070;23;2
0.8276;0.1053;0.8276;0.1066;24;2
0.8621;0.1053;0.8621;0.1063;25;2
0.8966;0.1053;0.8968;0.1059;26;2
0.9310;0.1053;0.9315;0.1055;27;2
0.9655;0.1053;0.9663;0.1051;28;2
1.0000;0.1053;1.0014;0.1046;29;2
0.0000;0.1579;-0.0011;0.1579;0;3
0.0345;0.1579;0.0338;0.1581;1;3
0.0690;0.1579;0.0684;0.1580;2;3
0.1034;0.1579;0.1029;0.1578;3;3
0.1379;0.1579;0.1374;0.1576;4;3
0.1724;0.1579;0.1719;0.1574;5;3
0.2069;0.1579;0.2064;0.1573;6;3
0.2414;0.1579;0.2408;0.1574;7;3
0.2759;0.1579;0.2754;0.1575;8;3
0.3103;0.1579;0.3099;0.1577;9;3
0.3448;0.1579;0.3445;0.1580;10;3
0.3793;0.1579;0.3790;0.1584;11;3
0.4138;0.1579;0.4136;0.1588;12;3
0.4483;0.1579;0.4481;0.1592;13;3
0.4828;0.1579;0.4827;0.1596;14;3
0.5172;0.1579;0.5172;0.1599;15;3
0.5517;0.1579;0.5517;0.1601;16;3
0.5862;0.1579;0.5862;0.1602;17;3
0.6207;0.1579;0.6207;0.1602;18;3
0.6552;0.1579;0.6552;0.1601;19;3
0.6897;0.1579;0.6896;0.1599;20;3
0.7241;0.1579;0.7241;0.1597;21;3
0.7586;0.1579;0.7586;0.1593;22;3
0.7931;0.1579;0.7930;0.1590;23;3
0.8276;0.1579;0.8275;0.1586;24;3
0.8621;0.1579;0.8621;0.1583;25;3
0.8966;0.1579;0.8967;0.1580;26;3
0.9310;0.1579;0.9314;0.1577;27;3
0.9655;0.1579;0.9663;0.1573;28;3
1.0000;0.1579;1.0014;0.1569;29;3
0.0000;0.2105;-0.0011;0.2105;0;4
0.0345;0.2105;0.0338;0.2105;1;4
0.0690;0.2105;0.0685;0.2103;2;4
0.1034;0.2105;0.1031;0.2101;3;4
0.1379;0.2105;0.1376;0.2100;4;4
0.1724;0.2105;0.1721;0.2099;5;4
0.2069;0.2105;0.2066;0.2099;6;4
0.2414;0.2105;0.2411;0.2100;7;4
0.2759;0.2105;0.2757;0.2102;8;4
0.3103;0.2105;0.3102;0.2104;9;4
0.3448;0.2105;0.3448;0.2108;10;4
0.3793;0.2105;0.3793;0.2111;11;4
0.4138;0.2105;0.4139;0.2115;12;4
0.4483;0.2105;0.4484;0.2118;13;4
0.4828;0.2105;0.4829;0.2121;14;4
0.5172;0.2105;0.5174;0.2123;15;4
0.5517;0.2105;0.5518;0.2124;16;4
0.5862;0.2105;0.5863;0.2124;17;4
0.6207;0.2105;0.6208;0.2123;18;4
0.6552;0.2105;0.6552;0.2121;19;4
0.6897;0.2105;0.6896;0.2119;20;4
0.7241;0.2105;0.7241;0.2116;21;4
0.7586;0.2105;0.7586;0.2113;22;4
0.7931;0.2105;0.7930;0.2110;23;4
0.8276;0.2105;0.8275;0.2107;24;4
0.8621;0.2105;0.8621;0.2104;25;4
0.8966;0.2105;0.8967;0.2102;26;4
0.9310;0.2105;0.9314;0.2100;27;4
0.9655;0.2105;0.9662;0.2098;28;4
1.0000;0.2105;1.0013;0.2094;29;4
0.0000;0.2632;-0.0010;0.2629;0;5
0.0345;0.2632;0.0339;0.2628;1;5
0.0690;0.2632;0.0686;0.2626;2;5
0.1034;0.2632;0.1032;0.2625;3;5
0.1379;0.2632;0.1377;0.2624;4;5
0.1724;0.2632;0.1723;0.2624;5;5
0.2069;0.2632;0.2068;0.2625;6;5
0.2414;0.2632;0.2414;0.2627;7;5
0.2759;0.2632;0.2759;0.2629;8;5
0.3103;0.2632;0.3105;0.2632;9;5
0.3448;0.2632;0.3450;0.2635;10;5
0.3793;0.2632;0.3796;0.2638;11;5
0.4138;0.2632;0.4141;0.2641;12;5
0.4483;0.2632;0.4486;0.2643;13;5
0.4828;0.2632;0.4830;0.2645;14;5
0.5172;0.2632;0.5175;0.2646;15;5
0.5517;0.2632;0.5519;0.2646;16;5
0.5862;0.2632;0.5864;0.2645;17;5
0.6207;0.2632;0.6208;0.2644;18;5
0.6552;0.2632;0.6552;0.2641;19;5
0.6897;0.2632;0.6896;0.2639;20;5
0.7241;0.2632;0.7241;0.2636;21;5
0.7586;0.2632;0.7585;0.2633;22;5
0.7931;0.2632;0.7930;0.2630;23;5
0.8276;0.2632;0.8275;0.2628;24;5
0.8621;0.2632;0.8621;0.2627;25;5
0.8966;0.2632;0.8967;0.2625;26;5
0.9310;0.2632;0.9314;0.2625;27;5
0.9655;0.2632;0.9662;0.2623;28;5
1.0000;0.2632;1.0013;0.2620;29;5
0.0000;0.3158;-0.0009;0.3151;0;6
0.0345;0.3158;0.0340;0.3151;1;6
0.0690;0.3158;0.0687;0.3150;2;6
0.1034;0.3158;0.1033;0.3150;3;6
0.1379;0.3158;0.1379;0.3150;4;6
0.1724;0.3158;0.1725;0.3151;5;6
0.2069;0.3158;0.2071;0.3152;6;6
0.2414;0.3158;0.2416;0.3154;7;6
0.2759;0.3158;0.2762;0.3157;8;6
0.3103;0.3158;0.3107;0.3159;9;6
0.3448;0.3158;0.3452;0.3162;10;6
0.3793;0.3158;0.3797;0.3164;11;6
0.4138;0.3158;0.4142;0.3166;12;6
0.4483;0.3158;0.4487;0.3168;13;6
0.4828;0.3158;0.4831;0.3169;14;6
0.5172;0.3158;0.5176;0.3169;15;6
0.5517;0.3158;0.5520;0.3168;16;6
0.5862;0.3158;0.5864;0.3167;17;6
0.6207;0.3158;0.6208;0.3164;18;6
0.6552;0.3158;0.6552;0.3162;19;6
0.6897;0.3158;0.6896;0.3159;20;6
0.7241;0.3158;0.7241;0.3156;21;6
0.7586;0.3158;0.7585;0.3154;22;6
0.7931;0.3158;0.7930;0.3152;23;6
0.8276;0.3158;0.8275;0.3151;24;6
0.8621;0.3158;0.8621;0.3150;25;6
0.8966;0.3158;0.8967;0.3150;26;6
0.9310;0.3158;0.9314;0.3150;27;6
0.9655;0.3158;0.9662;0.3150;28;6
1.0000;0.3158;1.0012;0.3148;29;6
0.0000;0.3684;-0.0008;0.3675;0;7
0.0345;0.3684;0.0341;0.3675;1;7
0.0690;0.3684;0.0688;0.3676;2;7
0.1034;0.3684;0.1035;0.3676;3;7
0.1379;0.3684;0.1381;0.3678;4;7
0.1724;0.3684;0.1727;0.3679;5;7
0.2069;0.3684;0.2073;0.3681;6;7
0.2414;0.3684;0.2418;0.3683;7;7
0.2759;0.3684;0.2764;0.3685;8;7
0.3103;0.3684;0.3109;0.3687;9;7
0.3448;0.3684;0.3454;0.3689;10;7
0.3793;0.3684;0.3799;0.3691;11;7
0.4138;0.3684;0.4143;0.3692;12;7
0.4483;0.3684;0.4488;0.3693;13;7
0.4828;0.3684;0.4832;0.3693;14;7
0.5172;0.3684;0.5176;0.3692;15;7
0.5517;0.3684;0.5519;0.3690;16;7
0.5862;0.3684;0.5863;0.3688;17;7
0.6207;0.3684;0.6207;0.3686;18;7
0.6552;0.3684;0.6551;0.3683;19;7
0.6897;0.3684;0.6895;0.3680;20;7
0.7241;0.3684;0.7240;0.3678;21;7
0.7586;0.3684;0.7585;0.3676;22;7
0.7931;0.3684;0.7930;0.3674;23;7
0.8276;0.3684;0.8275;0.3674;24;7
0.8621;0.3684;0.8621;0.3674;25;7
0.8966;0.3684;0.8967;0.3675;26;7
0.9310;0.3684;0.9314;0.3677;27;7
0.9655;0.3684;0.9662;0.3677;28;7
1.0000;0.3684;1.0012;0.3676;29;7
0.0000;0.4211;-0.0007;0.4202;0;8
0.0345;0.4211;0.0342;0.4203;1;8
0.0690;0.4211;0.0690;0.4204;2;8
0.1034;0.4211;0.1037;0.4206;3;8
0.1379;0.4211;0.1383;0.4207;4;8
0.1724;0.4211;0.1729;0.4209;5;8
0.2069;0.4211;0.2075;0.4211;6;8
0.2414;0.4211;0.2420;0.4213;7;8
0.2759;0.4211;0.2765;0.4215;8;8
0.3103;0.4211;0.3110;0.4216;9;8
0.3448;0.4211;0.3455;0.4217;10;8
0.3793;0.4211;0.3800;0.4218;11;8
0.4138;0.4211;0.4144;0.4218;12;8
0.4483;0.4211;0.4488;0.4218;13;8
0.4828;0.4211;0.4832;0.4217;14;8
0.5172;0.4211;0.5175;0.4215;15;8
0.5517;0.4211;0.5519;0.4213;16;8
0.5862;0.4211;0.5863;0.4211;17;8
0.6207;0.4211;0.6206;0.4208;18;8
0.6552;0.4211;0.6550;0.4205;19;8
0.6897;0.4211;0.6895;0.4203;20;8
0.7241;0.4211;0.7239;0.4200;21;8
0.7586;0.4211;0.7584;0.4199;22;8
0.7931;0.4211;0.7929;0.4198;23;8
0.8276;0.4211;0.8275;0.4198;24;8
0.8621;0.4211;0.8621;0.4200;25;8
0.8966;0.4211;0.8967;0.4201;26;8
0.9310;0.4211;0.9314;0.4203;27;8
0.9655;0.4211;0.9662;0.4205;28;8
1.0000;0.4211;1.0012;0.4204;29;8
0.0000;0.4737;-0.0005;0.4733;0;9
0.0345;0.4737;0.0344;0.4734;1;9
0.0690;0.4737;0.0692;0.4736;2;9
0.1034;0.4737;0.1039;0.4738;3;9
0.1379;0.4737;0.1385;0.4739;4;9
0.1724;0.4737;0.1731;0.4741;5;9
0.2069;0.4737;0.2076;0.4742;6;9
0.2414;0.4737;0.2422;0.4744;7;9
0.2759;0.4737;0.2767;0.4744;8;9
0.3103;0.4737;0.3111;0.4745;9;9
0.3448;0.4737;0.3456;0.4745;10;9
0.3793;0.4737;0.3800;0.4745;11;9
0.4138;0.4737;0.4144;0.4744;12;9
0.4483;0.4737;0.4487;0.4743;13;9
0.4828;0.4737;0.4831;0.4741;14;9
0.5172;0.4737;0.5174;0.4739;15;9
0.5517;0.4737;0.5518;0.4737;16;9
0.5862;0.4737;0.5862;0.4734;17;9
0.6207;0.4737;0.6205;0.4731;18;9
0.6552;0.4737;0.6549;0.4728;19;9
0.6897;0.4737;0.6894;0.4726;20;9
0.7241;0.4737;0.7239;0.4724;21;9
0.7586;0.4737;0.7584;0.4723;22;9
0.7931;0.4737;0.7929;0.4723;23;9
0.8276;0.4737;0.8275;0.4724;24;9
0.8621;0.4737;0.8621;0.4726;25;9
0.8966;0.4737;0.8968;0.4728;26;9
0.9310;0.4737;0.9315;0.4730;27;9
0.9655;0.4737;0.9663;0.4732;28;9
1.0000;0.4737;1.0012;0.4732;29;9
0.0000;0.5263;-0.0003;0.5267;0;10
0.0345;0.5263;0.0346;0.5269;1;10
0.0690;0.5263;0.0694;0.5270;2;10
0.1034;0.5263;0.1040;0.5272;3;10
0.1379;0.5263;0.1386;0.5273;4;10
0.1724;0.5263;0.1732;0.5274;5;10
0.2069;0.5263;0.2077;0.5274;6;10
0.2414;0.5263;0.2422;0.5274;7;10
0.2759;0.5263;0.2767;0.5274;8;10
0.3103;0.5263;0.3112;0.5274;9;10
0.3448;0.5263;0.3456;0.5273;10;10
0.3793;0.5263;0.3800;0.5272;11;10
0.4138;0.5263;0.4143;0.5270;12;10
0.4483;0.5263;0.4487;0.5268;13;10
0.4828;0.5263;0.4830;0.5266;14;10
0.5172;0.5263;0.5173;0.5263;15;10
0.5517;0.5263;0.5517;0.5260;16;10
0.5862;0.5263;0.5860;0.5257;17;10
0.6207;0.5263;0.6204;0.5255;18;10
0.6552;0.5263;0.6548;0.5252;19;10
0.6897;0.5263;0.6893;0.5250;20;10
0.7241;0.5263;0.7238;0.5249;21;10
0.7586;0.5263;0.7583;0.5248;22;10
0.7931;0.5263;0.7929;0.5249;23;10
0.8276;0.5263;0.8275;0.5250;24;10
0.8621;0.5263;0.8621;0.5252;25;10
0.8966;0.5263;0.8968;0.5255;26;10
0.9310;0.5263;0.9315;0.5258;27;10
0.9655;0.5263;0.9664;0.5260;28;10
1.0000;0.5263;1.0013;0.5259;29;10
0.0000;0.5789;-0.0001;0.5802;0;11
0.0345;0.5789;0.0347;0.5804;1;11
0.0690;0.5789;0.0695;0.5806;2;11
0.1034;0.5789;0.1041;0.5806;3;11
0.1379;0.5789;0.1387;0.5807;4;11
0.1724;0.5789;0.1733;0.5806;5;11
0.2069;0.5789;0.2078;0.5806;6;11
0.2414;0.5789;0.2423;0.5804;7;11
0.2759;0.5789;0.2767;0.5803;8;11
0.3103;0.5789;0.3111;0.5801;9;11
0.3448;0.5789;0.3455;0.5799;10;11
0.3793;0.5789;0.3799;0.5797;11;11
0.4138;0.5789;0.4142;0.5795;12;11
0.4483;0.5789;0.4486;0.5792;13;11
0.4828;0.5789;0.4829;0.5789;14;11
0.5172;0.5789;0.5172;0.5787;15;11
0.5517;0.5789;0.5516;0.5784;16;11
0.5862;0.5789;0.5859;0.5781;17;11
0.6207;0.5789;0.6203;0.5779;18;11
0.6552;0.5789;0.6548;0.5777;19;11
0.6897;0.5789;0.6892;0.5776;20;11
0.7241;0.5789;0.7237;0.5775;21;11
0.7586;0.5789;0.7583;0.5775;22;11
0.7931;0.5789;0.7929;0.5776;23;11
0.8276;0.5789;0.8275;0.5778;24;11
0.8621;0.5789;0.8622;0.5780;25;11
0.8966;0.5789;0.8969;0.5783;26;11
0.9310;0.5789;0.9316;0.5786;27;11
0.9655;0.5789;0.9664;0.5788;28;11
1.0000;0.5789;1.0014;0.5787;29;11
0.0000;0.6316;-0.0000;0.6338;0;12
0.0345;0.6316;0.0348;0.6340;1;12
0.0690;0.6316;0.0695;0.6340;2;12
0.1034;0.6316;0.1041;0.6340;3;12
0.1379;0.6316;0.1387;0.6339;4;12
0.1724;0.6316;0.1732;0.6337;5;12
0.2069;0.6316;0.2077;0.6335;6;12
0.2414;0.6316;0.2422;0.6332;7;12
0.2759;0.6316;0.2766;0.6329;8;12
0.3103;0.6316;0.3110;0.6326;9;12
0.3448;0.6316;0.3454;0.6323;10;12
0.3793;0.6316;0.3798;0.6320;11;12
0.4138;0.6316;0.4141;0.6317;12;12
0.4483;0.6316;0.4484;0.6315;13;12
0.4828;0.6316;0.4828;0.6312;14;12
0.5172;0.6316;0.5171;0.6310;15;12
0.5517;0.6316;0.5514;0.6307;16;12
0.5862;0.6316;0.5858;0.6305;17;12
0.6207;0.6316;0.6202;0.6304;18;12
0.6552;0.6316;0.6547;0.6303;19;12
0.6897;0.6316;0.6892;0.6302;20;12
0.7241;0.6316;0.7237;0.6303;21;12
0.7586;0.6316;0.7583;0.6303;22;12
0.7931;0.6316;0.7929;0.6305;23;12
0.8276;0.6316;0.8276;0.6307;24;12
0.8621;0.6316;0.8623;0.6310;25;12
0.8966;0.6316;0.8970;0.6313;26;12
0.9310;0.6316;0.9317;0.6316;27;12
0.9655;0.6316;0.9666;0.6317;28;12
1.0000;0.6316;1.0015;0.6317;29;12
0.0000;0.6842;0.0000;0.6871;0;13
0.0345;0.6842;0.0348;0.6872;1;13
0.0690;0.6842;0.0694;0.6872;2;13
0.1034;0.6842;0.1040;0.6870;3;13
0.1379;0.6842;0.1386;0.6867;4;13
0.1724;0.6842;0.1731;0.6864;5;13
0.2069;0.6842;0.2075;0.6860;6;13
0.2414;0.6842;0.2420;0.6856;7;13
